日期,开盘,收盘,最高,最低,成交量,MA7,MA14,MA20,MA60,DIF,DEA,MACD,RSI14
2026-02-25,70.1,70.54,70.86,69.4,11813818.0,69.79285714285713,70.76071428571429,72.41499999999999,69.54733333333334,-0.46094293977988343,-0.09083916384767726,-0.37010377593220617,29.618001046572488
2026-02-26,70.6,70.2,70.94,69.62,11760568.0,69.91714285714285,70.38571428571429,72.12100000000001,69.64066666666666,-0.461009666833732,-0.16487326444488823,-0.29613640238884376,34.15811707905854
2026-02-27,69.85,68.78,69.85,68.5,14915700.0,69.84428571428572,69.86,71.7815,69.7025,-0.5690846277239672,-0.24571553710070404,-0.32336909062326313,28.728323699421964
2026-03-02,67.2,67.4,69.35,66.87,14691690.0,69.62857142857142,69.67571428571428,71.35150000000002,69.7465,-0.7573589175641899,-0.34804421319340123,-0.4093147043707887,39.6964856230032
2026-03-03,67.44,62.7,67.99,62.66,24662769.0,68.57428571428572,69.02571428571429,70.75649999999999,69.72083333333333,-1.2711651683784453,-0.5326684042304101,-0.7384967641480352,20.45454545454548
2026-03-04,62.09,62.48,63.75,62.05,10341395.0,67.44142857142857,68.50785714285715,70.027,69.67716666666665,-1.6767835680947059,-0.7614914370032693,-0.9152921310914366,23.247232472324725
2026-03-05,63.68,62.6,63.75,62.25,10473833.0,66.38571428571429,67.96142857142857,69.24050000000001,69.60633333333334,-1.9658944673812897,-1.0023720430788734,-0.9635224243024163,20.91254752851718
2026-03-06,62.0,65.75,66.0,61.98,18574642.0,65.70142857142858,67.74714285714286,68.75550000000001,69.60716666666667,-1.9187204486755576,-1.1856417241982102,-0.7330787244773473,39.864864864864884
2026-03-09,64.0,64.51,64.81,62.95,13739671.0,64.88857142857144,67.40285714285714,68.174,69.602,-1.9588123662288979,-1.340275852604348,-0.61853651362455,34.4113842173351
2026-03-10,66.25,73.1,73.5,66.0,51311695.0,65.50571428571429,67.675,68.33,69.72933333333332,-1.2826585994546917,-1.3287524019744166,0.046093802519724836,57.93419408579755
2026-03-11,75.1,76.72,76.86,73.87,60501587.0,66.83714285714285,68.23285714285714,68.576,69.90633333333334,-0.4495163764896546,-1.1529051968774642,0.7033888203878096,64.3302752293578
2026-03-12,77.0,74.8,79.98,74.65,43472851.0,68.56571428571428,68.57000000000001,68.8295,70.04933333333334,0.05519067998139349,-0.9112860215056927,0.9664767014870862,58.428571428571416
2026-03-13,74.61,72.73,74.88,72.46,20402004.0,70.03,68.73571428571428,68.95349999999999,70.13799999999999,0.28485927772959485,-0.6720569616586353,0.9569162393882301,53.90047074646941
2026-03-16,73.3,77.32,78.45,72.3,35859646.0,72.13285714285715,69.25928571428571,69.38199999999999,70.31383333333333,0.8277066488687126,-0.3721042395531657,1.1998108884218783,60.808021232674726
2026-03-17,77.11,74.0,77.33,73.68,22771076.0,73.31142857142856,69.50642857142857,69.6155,70.46433333333334,0.9787385590333457,-0.10193567983586338,1.080674238869209,54.716466739367505
2026-03-18,75.01,73.38,75.01,72.5,15722562.0,74.57857142857142,69.73357142857142,69.82000000000001,70.58466666666666,1.0364559979482806,0.12574265572096543,0.9107133422273151,54.301948051948045
2026-03-19,71.92,70.91,72.16,69.92,15777631.0,74.26571428571428,69.88571428571429,69.92,70.69350000000001,0.8728277122212518,0.27515966702102274,0.597668045200229,52.80189423835832
2026-03-20,71.53,71.3,75.38,71.17,23400165.0,73.49142857142859,70.16428571428571,69.98100000000001,70.80916666666666,0.7657932694183529,0.3732863875004888,0.3925068819178641,55.2674230145867
2026-03-23,70.07,70.39,73.46,68.91,24868668.0,72.86142857142856,70.71357142857143,69.97999999999999,70.88183333333333,0.6006147940665727,0.4187520688137056,0.18186272525286712,61.570869696057784
